"V1","V4","V5"
"SRX1451228","H3K27ac","Epidermis"
"SRX1456193","EBF1","Blood"
"SRX1456195","RBPJ","Blood"
"SRX1456201","H3K27me3","Blood"
"SRX145843","ERG","Prostate"
"SRX1458748","H3K4me3","Kidney"
"SRX1458750","H3K4me3","Kidney"
"SRX1458752","H3K27me3","Kidney"
"SRX1458754","H3K27me3","Kidney"
"SRX1458756","H3K27ac","Kidney"
"SRX1458758","H3K27ac","Kidney"
"SRX1460847","RELA","Blood"
"SRX1460848","RELA","Blood"
"SRX1460849","AFF4","Blood"
"SRX1460850","AFF4","Blood"
"SRX1460851","BRD4","Blood"
"SRX1460852","BRD4","Blood"
"SRX1460853","MED1","Blood"
"SRX1460854","MED1","Blood"
"SRX147007","EP300","Lung"
"SRX1470542","Epitope tags","Muscle"
"SRX1470544","Epitope tags","Muscle"
"SRX1471688","NFE2L2","Lung"
"SRX1471689","NFE2L2","Lung"
"SRX1471690","NFE2L2","Lung"
"SRX1471691","NFE2L2","Lung"
"SRX1471738","BRD4","Epidermis"
"SRX1471739","BRD4","Epidermis"
"SRX1471741","H3K27ac","Epidermis"
"SRX1478537","EP300","Kidney"
"SRX148292","DNase-Seq","Lung"
"SRX148293","DNase-Seq","Lung"
"SRX149703","SCML2","Kidney"
"SRX149707","SCML2","Kidney"
"SRX150103","BRF2","Lung"
"SRX150105","GTF2B","Lung"
"SRX150106","SNAPC2","Lung"
"SRX150107","SNAPC2","Lung"
"SRX150108","SNAPC1","Lung"
"SRX150109","SNAPC5","Lung"
"SRX150110","SNAPC4","Lung"
"SRX150357","TBP","Blood"
"SRX150358","JUN","Cardiovascular"
"SRX150363","MAZ","Blood"
"SRX150374","EP300","Blood"
"SRX150381","CHD1","Blood"
"SRX150389","NRF1","Blood"
"SRX150409","ZNF274","Blood"
"SRX150410","E2F4","Blood"
"SRX150411","SIN3A","Blood"
"SRX150412","RAD21","Blood"
"SRX150413","GATA1","Blood"
"SRX150425","ELK1","Blood"
"SRX150455","EBF1","Blood"
"SRX150456","SMC3","Blood"
"SRX150457","BRCA1","Blood"
"SRX150458","CHD2","Blood"
"SRX150483","MAFK","Lung"
"SRX150484","CTCF","Lung"
"SRX150489","FOS","Blood"
"SRX150494","KAT2A","Blood"
